Timestamp,¿Está dispuesto a completar esta encuesta por completo y una sola una vez?,Edad,Género,Ingresos mensuales promedio,Vivo en:,En mi recibo del servicio eléctrico dice que vivo en estrato,Filiación religiosa,Grupo Sanguíneo,¿Piensa votar en las próximas elecciones Alcaldía Bogotá 2015?,¿Tiene algún tipo de filiación con un grupo político?,"Ahora si, ¿Por quién piensa votar en las próxima elecciones Alcaldía Bogotá 2015?"
10/20/2015 23:31:56,Si,29-33,Masculino,"Soy freelance, no se que es recibir plata mensualmente",Bogotá,3,Ninguna/Otra/No le importa,O+,Si,No,Daniel Raisbeck (Movimiento Libertario)
10/21/2015 21:06:59,Si,23-28,Femenino,1 a 2 SMMLV,Bogotá,3,Ninguna/Otra/No le importa,A-,Si,No,Rafael Pardo (Partido Liberal)
10/21/2015 21:31:02,Si,29-33,Masculino,7 a 10 SMMLV,Bogotá,3,Otra secta cristiana protestante,A+,Si,No,Ricardo Arias (Movimiento Libres)
10/21/2015 21:34:11,Si,23-28,Femenino,3 SMMLV,Bogotá,4,Ninguna/Otra/No le importa,A+,Si,No,Ricardo Arias (Movimiento Libres)
10/21/2015 21:35:03,Si,23-28,Femenino,4 a 6 SMMLV,Bogotá,4,Ateo,O+,Si,No,Rafael Pardo (Partido Liberal)
10/21/2015 21:36:56,Si,18-22,Femenino,1 a 2 SMMLV,Bogotá,2,Budismo,O+,Si,Si,Rafael Pardo (Partido Liberal)
10/21/2015 21:37:24,Si,34-40,Masculino,4 a 6 SMMLV,Bogotá,3,"Católico, Apostólico y Romano",O+,Si,No,Daniel Raisbeck (Movimiento Libertario)
10/21/2015 21:38:33,Si,18-22,Femenino,Menos de un SMMLV,Bogotá,2,Católico de otro tipo,O+,Si,No,Rafael Pardo (Partido Liberal)
10/21/2015 21:43:23,Si,23-28,Femenino,1 a 2 SMMLV,Bogotá,3,"Católico, Apostólico y Romano",O+,Si,No,Rafael Pardo (Partido Liberal)
10/21/2015 21:51:30,Si,23-28,Masculino,1 a 2 SMMLV,Bogotá,6,Ninguna/Otra/No le importa,AB+,Si,No,Rafael Pardo (Partido Liberal)
10/21/2015 21:54:29,Si,29-33,LGBTIYXUPAH,Menos de un SMMLV,Bogotá,3,Ninguna/Otra/No le importa,O+,Si,No,Rafael Pardo (Partido Liberal)
10/21/2015 21:54:37,Si,34-40,Masculino,3 SMMLV,Bogotá,3,Ninguna/Otra/No le importa,A+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/21/2015 21:56:18,Si,23-28,Masculino,Menos de un SMMLV,Bogotá,3,"Católico, Apostólico y Romano",O+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/21/2015 21:59:53,Si,49-56,Masculino,"Soy freelance, no se que es recibir plata mensualmente",Bogotá,3,"Católico, Apostólico y Romano",O+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/21/2015 22:01:53,Si,18-22,Femenino,"Soy freelance, no se que es recibir plata mensualmente",Bogotá,4,Cristiano Ortodoxo,O+,Si,No,Ricardo Arias (Movimiento Libres)
10/21/2015 22:02:18,Si,23-28,Femenino,Menos de un SMMLV,Bogotá,3,Ateo,B+,Si,No,Daniel Raisbeck (Movimiento Libertario)
10/21/2015 22:10:55,Si,49-56,Masculino,11 a 15 SMMLV,Bogotá,6,Otra secta cristiana protestante,O+,Si,No,Ricardo Arias (Movimiento Libres)
10/21/2015 22:13:23,Si,57-64,LGBTIYXUPAH,1 a 2 SMMLV,Algún municipio cercano a Bogotá,6,Rastafari,A-,No,No,Daniel Raisbeck (Movimiento Libertario)
10/21/2015 22:19:19,Si,34-40,Masculino,1 a 2 SMMLV,Bogotá,3,Gnóstico,A+,Si,No,"Alex Vernot (Pueblo, Tierra y Futuro)"
10/21/2015 22:22:44,Si,34-40,Masculino,1 a 2 SMMLV,Bogotá,2,"Católico, Apostólico y Romano",O+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/21/2015 22:33:45,Si,18-22,Femenino,1 a 2 SMMLV,Bogotá,4,"Católico, Apostólico y Romano",A+,Si,No,Daniel Raisbeck (Movimiento Libertario)
10/21/2015 22:51:24,Si,29-33,Masculino,1 a 2 SMMLV,Bogotá,4,Cristiano Ortodoxo,AB+,Si,No,Rafael Pardo (Partido Liberal)
10/21/2015 22:53:21,Si,34-40,Masculino,4 a 6 SMMLV,Bogotá,3,"Católico, Apostólico y Romano",O+,Si,Si,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/21/2015 23:16:41,Si,34-40,Masculino,16 a 30 SMMLV,Bogotá,5,"Católico, Apostólico y Romano",O+,Si,No,"Alex Vernot (Pueblo, Tierra y Futuro)"
10/22/2015 0:32:40,Si,29-33,LGBTIYXUPAH,3 SMMLV,Bogotá,3,Ateo,O+,Si,No,Daniel Raisbeck (Movimiento Libertario)
10/22/2015 0:35:18,Si,23-28,Masculino,4 a 6 SMMLV,Bogotá,6,Ateo,B+,Si,No,Daniel Raisbeck (Movimiento Libertario)
10/22/2015 3:22:43,Si,29-33,Masculino,4 a 6 SMMLV,Bogotá,6,"Católico, Apostólico y Romano",O+,Si,Si,Daniel Raisbeck (Movimiento Libertario)
10/22/2015 5:17:58,Si,41-48,Masculino,3 SMMLV,Bogotá,3,Cristiano Ortodoxo,B+,Si,No,"Alex Vernot (Pueblo, Tierra y Futuro)"
10/22/2015 5:34:37,Si,57-64,Femenino,16 a 30 SMMLV,Bogotá,6,"Católico, Apostólico y Romano",A+,Si,Si,Daniel Raisbeck (Movimiento Libertario)
